seed,step,training_accuracy,stock_logit_gradient_relative_error,accurate_logit_gradient_relative_error,stock_zero_target_fraction,stock_readout_gradient_relative_error,accurate_readout_gradient_relative_error
1,17570,1.0,0.30947959698067357,6.737050130004312e-08,0.4762402088772846,1.2260329041436533,1.376800136499528e-07
1,17580,1.0,0.30838374719220774,6.28775516730973e-08,0.4704960835509138,1.212527884175327,1.394460156405972e-07
1,17590,1.0,0.3012211400935464,6.436885223203276e-08,0.4550913838120104,1.187658223136192,1.3334625105460318e-07
1,17600,1.0,0.3016574148867242,6.699447372598534e-08,0.4691906005221932,1.3090457459312077,1.462105986370098e-07
1,17610,1.0,0.29328032078226374,6.471766278621965e-08,0.4577023498694517,1.1805435194428182,1.4036148232487633e-07
1,17620,1.0,0.28707939474359323,6.812861961326269e-08,0.43994778067885115,1.230386371990805,1.41196912761082e-07
1,17630,1.0,0.28443235455101223,6.831933095266883e-08,0.4412532637075718,1.1321800787759546,1.4878374713858939e-07
1,17640,1.0,0.2729014151114528,6.769426959273018e-08,0.4261096605744125,0.9543423212529976,1.3083881831145176e-07
1,17650,1.0,0.27736425251251706,6.851861066196527e-08,0.42010443864229763,0.9511042763905185,1.3554872503518585e-07
1,17660,1.0,0.26552826529917445,6.934273071430985e-08,0.416710182767624,0.9087756008464373,1.3069179256192515e-07
1,17670,1.0,0.26341775380496263,6.928521244854893e-08,0.408355091383812,0.9845409662339698,1.4021768119841662e-07
1,17680,1.0,0.2603073345955542,6.62485844533022e-08,0.3997389033942559,1.0125634945846256,1.4756155472616802e-07
1,17690,1.0,0.2539466971204257,6.474252435372674e-08,0.39138381201044387,0.8704043313109372,1.1721822866853096e-07
1,17700,1.0,0.2476185061220196,6.890768984753535e-08,0.3887728459530026,1.0951621378897216,1.4308079788718185e-07
1,17710,1.0,0.24356092283914252,6.978750382750518e-08,0.3697127937336815,0.7232032084684319,1.1340008745611583e-07
1,17720,1.0,7.981512135186106e-05,8.505128129324012e-08,0.3566579634464752,0.00011225622598475758,6.066665364978042e-08
1,17721,0.1566579634464752,3.883813540160109e-08,3.506861113115366e-08,0.00835509138381201,4.367573486970653e-08,3.3908802056715724e-08
2,6000,1.0,0.009673598312010109,1.357945410368694e-07,0.0,0.02153303111232237,2.0566490463156855e-07
