run,seed,regime,step,readout_input,population,feature_mean_norm,dc_spectral_power,total_spectral_power,dc_power_fraction,checkpoint,source_csv,source_row,training_backend,measurement_backend
seed1_adamw_stable,1,adamw,75000,layer_1_post_block_residual,"full operand grid, uniform113x113",70.9108522735562,64206988.0,160673424.0,0.3996117491091744,checkpoints/seedstudy_adamw_stable_seed_1/step_075000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,307,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed1_adamw_stable,1,adamw,99000,layer_1_post_block_residual,"full operand grid, uniform113x113",131.3650162096047,220351664.00000003,422517824.0,0.5215203986282009,checkpoints/seedstudy_adamw_stable_seed_1/step_099000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,313,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed1_adamw_stable,1,adamw,100000,layer_1_post_block_residual,"full operand grid, uniform113x113",113.75085610089046,165221376.0,411816128.0,0.4012018101437737,checkpoints/seedstudy_adamw_stable_seed_1/step_100000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,319,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_muon,2,muon,0,layer_1_post_block_residual,"full operand grid, uniform113x113",18.383498339516272,4315322.0,4374278.5,0.9865220058576517,checkpoints/seedstudy_muon_seed_2/step_000000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,325,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_muon,2,muon,5000,layer_1_post_block_residual,"full operand grid, uniform113x113",536.0937964015388,3669766656.0,4396178944.0,0.8347628025944159,checkpoints/seedstudy_muon_seed_2/step_005000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,331,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_muon,2,muon,6000,layer_1_post_block_residual,"full operand grid, uniform113x113",450.10961848269613,2586982400.0,3255619840.0,0.7946205414450356,checkpoints/seedstudy_muon_seed_2/step_006000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,337,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_muon,2,muon,7000,layer_1_post_block_residual,"full operand grid, uniform113x113",518.5514937364999,3433528576.0,4331228160.0,0.7927378676813922,checkpoints/seedstudy_muon_seed_2/step_007000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,343,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_muon,2,muon,16000,layer_1_post_block_residual,"full operand grid, uniform113x113",8495.740751189747,921635913728.0,942520074240.0,0.9778422114469658,checkpoints/seedstudy_muon_seed_2/step_016000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,349,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_muon,2,muon,17000,layer_1_post_block_residual,"full operand grid, uniform113x113",5042.3050070232275,324649779200.0,337298423808.0,0.9625001372221058,checkpoints/seedstudy_muon_seed_2/step_017000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,355,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_muon,2,muon,25000,layer_1_post_block_residual,"full operand grid, uniform113x113",1496.3322233517429,28589920256.0,44467048448.0,0.6429462096957751,checkpoints/seedstudy_muon_seed_2/step_025000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,361,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
