step,local_step,train_loss,train_accuracy,heldout_measured,test_loss,test_loss64,test_accuracy,train_below_0_90,joint_failure,elapsed_seconds
16630,630,2.281783935131898e-07,1.0,False,,,,False,False,51.84007754200138
16640,640,2.257506253044994e-07,1.0,False,,,,False,False,52.674214750062674
16650,650,2.25844004830833e-07,1.0,False,,,,False,False,53.6319829588756
16660,660,2.2185999171142612e-07,1.0,False,,,,False,False,54.60923120891675
16670,670,2.211441056942931e-07,1.0,False,,,,False,False,55.4004800838884
16680,680,2.1930772220457584e-07,1.0,False,,,,False,False,56.423729583853856
16690,690,2.1918322090641595e-07,1.0,False,,,,False,False,57.45847204187885
16700,700,2.1744021694303228e-07,1.0,True,0.0030229855328798294,0.0030230362859745966,0.9996643919901554,False,False,58.530173166887835
16710,710,2.173779733993797e-07,1.0,False,,,,False,False,59.36168087506667
16720,720,2.1594621557596838e-07,1.0,False,,,,False,False,60.204122374998406
16730,730,2.166309656104204e-07,1.0,False,,,,False,False,61.191826292080805
16740,740,2.1137081773758837e-07,1.0,False,,,,False,False,61.974491541972384
16750,750,2.1168206387756072e-07,1.0,False,,,,False,False,63.007477917009965
16760,760,2.1062380994862906e-07,1.0,False,,,,False,False,64.01427495898679
