cohort,seed,checkpoint,method,fit,regularization,validation_cross_entropy,converged,status,message,iterations,function_evaluations,iteration_limit,function_evaluation_limit,initial_objective,final_objective,gradient_infinity_norm,gradient_l2_norm
prospective_cpu,2,previous,unregularized_control,candidate,1e-06,1.8585669438827457e-05,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,14,16,500,1500,4.727387818712339,0.0001444063113741528,6.156742300344172e-08,1.2672507029994288e-06
prospective_cpu,2,previous,unregularized_control,candidate,0.0001,0.0012097028639445906,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,18,500,1500,4.727387818712339,0.007944496742756248,5.096329649810521e-08,7.351865480700445e-07
prospective_cpu,2,previous,unregularized_control,candidate,0.01,0.07781399882214739,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,18,500,1500,4.727387818712339,0.34638868158803926,1.1450467180223849e-07,6.279063678244409e-07
prospective_cpu,2,previous,unregularized_control,refit,0.0,,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,17,1000,3000,4.72738781871234,2.634046365368588e-06,9.799419342697612e-08,2.5793646721900297e-06
prospective_cpu,2,failed,unregularized_control,candidate,0.0,213.23671769207405,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,38,40,500,1500,4.727387818712339,9.924892523184473e-07,7.578534868734237e-08,8.229016710959683e-07
prospective_cpu,2,failed,unregularized_control,refit,0.0,,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,66,71,1000,3000,4.72738781871234,1.7478401880383601e-06,7.388321425261738e-08,8.811091502083447e-07
prospective_cpu,3,previous,cv_selected,candidate,0.0,3.0979808356882162e-06,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,14,17,500,1500,4.727387818712339,2.2272404438968007e-06,9.357201490428185e-08,1.9429322854570333e-06
prospective_cpu,3,previous,cv_selected,candidate,1e-08,3.2840364172580364e-06,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,14,17,500,1500,4.727387818712339,4.356532343948322e-06,9.042537245683346e-08,1.8585719957859871e-06
prospective_cpu,3,previous,cv_selected,candidate,1e-06,2.7321115294171367e-05,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,16,500,1500,4.727387818712339,0.00017285929156100324,7.002659833231087e-08,8.227104964853298e-07
prospective_cpu,3,previous,cv_selected,candidate,0.0001,0.001674438250917195,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,21,500,1500,4.727387818712339,0.009339023512797116,1.2388074244694288e-08,1.5353027851748284e-07
prospective_cpu,3,previous,cv_selected,candidate,0.01,0.097858880522614,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,19,500,1500,4.727387818712339,0.39712416324631844,6.422997890648139e-08,6.96494952237607e-07
prospective_cpu,3,previous,cv_selected,refit,0.0,,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,14,17,1000,3000,4.72738781871234,2.202494507939344e-06,9.191767976571836e-08,1.9165608994038252e-06
prospective_cpu,3,failed,cv_selected,candidate,0.0,0.9712106430157967,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,28,31,500,1500,4.727387818712339,9.889011780515077e-07,6.79357453454699e-08,6.823781750909496e-07
prospective_cpu,3,failed,cv_selected,candidate,1e-08,0.5635148247594362,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,38,41,500,1500,4.727387818712339,2.7458804648903267e-05,6.817287656754227e-08,1.0129112180084732e-06
prospective_cpu,3,failed,cv_selected,candidate,1e-06,0.3340798744331374,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,75,78,500,1500,4.727387818712339,0.0012197324801368915,9.34071626896291e-08,1.120494563514785e-06
prospective_cpu,3,failed,cv_selected,candidate,0.0001,0.3623655988615667,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,59,65,500,1500,4.727387818712339,0.04671235625186648,5.093416428698287e-08,8.893199819009281e-07
