cohort,seed,mask,updated_groups,train_correct,train_total,train_accuracy,train_accurate_ce32,train_accurate_ce64,test_correct,test_total,test_accuracy,test_accurate_ce32,test_accurate_ce64
prospective_cpu,2,000,,3830,3830,1.0,6.432832014979795e-05,6.432831764457397e-05,8939,8939,1.0,5.5268021242227405e-05,5.526802146956162e-05
prospective_cpu,2,001,readout,3830,3830,1.0,6.323953130049631e-05,6.32395355034914e-05,8939,8939,1.0,5.4770312999607995e-05,5.477031368483629e-05
prospective_cpu,2,010,hidden,3830,3830,1.0,2.858754487533588e-05,2.8587545732591573e-05,8939,8939,1.0,3.246180131100118e-05,3.2461799421653996e-05
prospective_cpu,2,011,"hidden,readout",3830,3830,1.0,2.8569942514877766e-05,2.8569941392003634e-05,8939,8939,1.0,3.246722917538136e-05,3.2467227966403146e-05
prospective_cpu,2,100,embeddings,2090,3830,0.5456919060052219,3.108158826828003,3.108158494473709,4803,8939,0.5373084237610471,3.105029582977295,3.105029722692358
prospective_cpu,2,101,"embeddings,readout",2090,3830,0.5456919060052219,3.108161211013794,3.108161209253813,4803,8939,0.5373084237610471,3.1050260066986084,3.105026063442289
prospective_cpu,2,110,"embeddings,hidden",2115,3830,0.5522193211488251,3.087151288986206,3.087151305614526,4876,8939,0.54547488533393,3.0822463035583496,3.08224642141723
prospective_cpu,2,111,"embeddings,hidden,readout",2115,3830,0.5522193211488251,3.0871708393096924,3.0871708126634454,4876,8939,0.54547488533393,3.0822606086730957,3.0822608187672835
prospective_cpu,3,000,,3830,3830,1.0,0.0009107741061598063,0.0009107740748673077,8939,8939,1.0,0.0010678546968847513,0.0010678546522744105
prospective_cpu,3,001,readout,3830,3830,1.0,0.0009087820071727037,0.000908781989609375,8939,8939,1.0,0.0010656560771167278,0.00106565613512343
prospective_cpu,3,010,hidden,3830,3830,1.0,0.00026494439225643873,0.000264944390915417,8939,8939,1.0,0.000307554320897907,0.0003075542907433065
prospective_cpu,3,011,"hidden,readout",3830,3830,1.0,0.0002643419138621539,0.00026434192271817847,8939,8939,1.0,0.00030686426907777786,0.00030686425541801156
prospective_cpu,3,100,embeddings,2258,3830,0.589556135770235,2.0142741203308105,2.0142739752575287,5178,8939,0.5792594249916098,2.1057236194610596,2.1057236051428427
prospective_cpu,3,101,"embeddings,readout",2258,3830,0.589556135770235,2.014014959335327,2.0140149916043715,5178,8939,0.5792594249916098,2.105445623397827,2.1054455864439197
prospective_cpu,3,110,"embeddings,hidden",2457,3830,0.6415143603133159,1.8054847717285156,1.8054848956551812,5619,8939,0.6285938024387515,1.8808093070983887,1.880809482164684
prospective_cpu,3,111,"embeddings,hidden,readout",2457,3830,0.6415143603133159,1.8052316904067993,1.8052316969409696,5619,8939,0.6285938024387515,1.8805345296859741,1.8805344902720849
prospective_cpu,4,000,,3740,3830,0.9765013054830287,0.1414879709482193,0.1414879707659659,8749,8939,0.9787448260431816,0.12772314250469208,0.1277231354008089
prospective_cpu,4,001,readout,3740,3830,0.9765013054830287,0.13947336375713348,0.13947336437791913,8749,8939,0.9787448260431816,0.12727032601833344,0.12727032817824627
prospective_cpu,4,010,hidden,3806,3830,0.993733681462141,0.042570021003484726,0.0425700212249417,8792,8939,0.9835552075176194,0.08399353921413422,0.08399353811452553
prospective_cpu,4,011,"hidden,readout",3807,3830,0.9939947780678852,0.04147637262940407,0.04147637492855227,8797,8939,0.9841145542006936,0.0838463231921196,0.08384631951748751
prospective_cpu,4,100,embeddings,32,3830,0.00835509138381201,6.359838485717773,6.359838684677995,94,8939,0.010515717641794384,6.367090225219727,6.367089890195677
prospective_cpu,4,101,"embeddings,readout",32,3830,0.00835509138381201,6.355579853057861,6.355579828970644,94,8939,0.010515717641794384,6.362593173980713,6.36259314677763
prospective_cpu,4,110,"embeddings,hidden",34,3830,0.008877284595300261,6.35625696182251,6.356257028650284,92,8939,0.010291978968564717,6.366940021514893,6.366940394709483
prospective_cpu,4,111,"embeddings,hidden,readout",34,3830,0.008877284595300261,6.351696014404297,6.351696065701701,92,8939,0.010291978968564717,6.362141132354736,6.362141038026656
