step,train_loss,train_accuracy,test_loss,test_accuracy,heldout_measured,post_grok,event_trigger,elapsed_seconds
260,0.002584724687039852,1.0,,,False,False,False,15.41579029080458
270,0.012193045578897,0.9973890339425587,,,False,False,False,16.179544790880755
280,0.003959231544286013,0.9997389033942559,,,False,False,False,16.945799415931106
290,0.004114548210054636,0.9997389033942559,,,False,False,False,17.71629566582851
300,0.002706365194171667,1.0,35.226280212402344,0.00548159749412686,True,False,False,18.550199874909595
310,0.002203102456405759,1.0,,,False,False,False,19.3263888747897
320,0.0031540256459265947,0.9997389033942559,,,False,False,False,20.085918540833518
330,0.007891594432294369,0.9984334203655353,,,False,False,False,20.853075915947556
340,0.002431275323033333,0.9997389033942559,,,False,False,False,21.635654124896973
350,0.0026263236068189144,0.9994778067885117,,,False,False,False,22.389715832890943
360,0.001851937617175281,0.9997389033942559,,,False,False,False,23.13745362497866
370,0.0043881479650735855,0.9986945169712794,,,False,False,False,23.87367624999024
380,0.002567593939602375,0.9997389033942559,,,False,False,False,24.613735832972452
390,0.0013304234016686678,1.0,,,False,False,False,25.356454457854852
400,0.0006287217256613076,1.0,37.76566696166992,0.006040944177201029,True,False,False,26.154702625004575
410,0.010335229337215424,0.9976501305483029,,,False,False,False,26.92106729093939
420,0.0027996248099952936,0.9994778067885117,,,False,False,False,27.680411832872778
430,0.0020187608897686005,0.9997389033942559,,,False,False,False,28.437639832962304
440,0.0013224714202806354,1.0,,,False,False,False,29.206019665813074
450,0.0008725058287382126,1.0,,,False,False,False,29.979662457946688
460,0.01393885537981987,0.9955613577023499,,,False,False,False,30.736768290866166
470,0.0026946987491101027,1.0,,,False,False,False,31.386077124858275
480,0.001264867722056806,1.0,,,False,False,False,31.886081415927038
490,0.0005610801163129508,1.0,,,False,False,False,32.39067737478763
500,0.0002424277045065537,1.0,36.689334869384766,0.010180109631949883,True,False,False,33.000197999877855
510,0.00010671901691239327,1.0,,,False,False,False,33.79732429096475
520,4.5538839913206175e-05,1.0,,,False,False,False,34.56778583279811
530,1.829383290896658e-05,1.0,,,False,False,False,35.2648808748927
540,7.4358194979140535e-06,1.0,,,False,False,False,35.885089040966704
550,3.1698498332843883e-06,1.0,,,False,False,False,36.64344333298504
560,0.032689645886421204,0.9929503916449086,,,False,False,False,37.337061582831666
570,0.007656114175915718,0.9992167101827676,,,False,False,False,38.0577282498125
580,0.010208542458713055,0.9981723237597911,,,False,False,False,38.662132165860385
590,0.0032137765083462,1.0,,,False,False,False,39.154505165992305
600,0.001783254905603826,1.0,48.01215362548828,0.011634411007942724,True,False,False,39.70103812497109
610,0.002600663108751178,0.9997389033942559,,,False,False,False,40.1981438328512
620,0.00267194421030581,0.9997389033942559,,,False,False,False,40.76832491578534
630,0.001850744942203164,1.0,,,False,False,False,41.34572316589765
640,0.004520014859735966,0.9986945169712794,,,False,False,False,41.90424824994989
650,0.0013437311863526702,0.9997389033942559,,,False,False,False,42.46511891600676
660,0.0006236729095689952,1.0,,,False,False,False,43.06937970779836
670,0.002027295297011733,0.9992167101827676,,,False,False,False,43.75608624983579
680,0.0007634757203049958,1.0,,,False,False,False,44.532072624890134
690,0.000432089960668236,1.0,,,False,False,False,45.29107016581111
700,0.0005414307815954089,1.0,40.40392303466797,0.01610918447253608,True,False,False,46.161753749940544
710,0.00033647147938609123,1.0,,,False,False,False,46.94942412478849
720,0.0012511940440163016,0.9994778067885117,,,False,False,False,47.77309183287434
730,0.001658402499742806,1.0,,,False,False,False,48.58452499983832
740,0.0013715318636968732,1.0,,,False,False,False,49.18049008282833
750,0.0008659228915348649,1.0,,,False,False,False,50.01796683296561
760,0.000348752859281376,1.0,,,False,False,False,50.66867179097608
770,0.0001742384920362383,1.0,,,False,False,False,51.38340024999343
780,8.495712245348841e-05,1.0,,,False,False,False,52.26880274992436
790,0.001277049770578742,0.9994778067885117,,,False,False,False,53.204154290957376
800,0.005136813968420029,1.0,35.24261474609375,0.016892269828839915,True,False,False,54.21203237492591
810,0.0028187306597828865,1.0,,,False,False,False,54.98360074986704
820,0.0013535234611481428,1.0,,,False,False,False,55.59836049983278
830,0.0007358893635682762,1.0,,,False,False,False,56.53201474994421
840,0.0003514772979542613,1.0,,,False,False,False,57.49126191600226
850,0.00016583132673986256,1.0,,,False,False,False,58.408162540989
860,7.844192441552877e-05,1.0,,,False,False,False,59.334439790807664
870,3.381959686521441e-05,1.0,,,False,False,False,60.26230899989605
