step,is_reference,is_detected_collapse,train_accuracy,test_accuracy,diagonal_only_train_accuracy,diagonal_only_test_accuracy,off_diagonal_only_train_accuracy,off_diagonal_only_test_accuracy,full_test_mean_margin,diagonal_test_mean_margin,off_diagonal_test_mean_margin,hidden_non_dc_diagonal_power_fraction,sum_explained_hidden_variance,top_frequency_pairs,current_hidden_reference_readout_test_accuracy,reference_hidden_current_readout_test_accuracy,current_diagonal_reference_readout_test_accuracy,reference_diagonal_current_readout_test_accuracy,relative_unembedding_drift,relative_diagonal_hidden_drift,diagonal_pair_power_cosine_similarity_to_reference,top_frequency_jaccard_to_reference,diagonal_logit_cosine_similarity_to_reference,full_logit_cosine_similarity_to_reference,diagonal_correct_full_wrong_fraction,mean_off_diagonal_interference_advantage_on_rescued_errors
44230,0,0,1.0,1.0,1.0,1.0,0.016710182651877403,0.01610918529331684,15.513406753540039,17.119930267333984,-6.629931926727295,0.23033402860164642,0.23033392429351807,12|11|7|56|47,0.38919341564178467,0.02628929354250431,0.41290971636772156,0.017675355076789856,0.35074949264526367,0.6010551452636719,0.9867420196533203,1.0,0.9643003344535828,0.9593579173088074,0.0,0.0
44240,0,0,1.0,1.0,1.0,1.0,0.016449086368083954,0.016444792971014977,15.518610954284668,17.130666732788086,-6.654651165008545,0.2300981730222702,0.23009830713272095,12|11|7|56|47,0.3924376368522644,0.027296118438243866,0.41290971636772156,0.017675355076789856,0.34714141488075256,0.5973224639892578,0.9872955083847046,1.0,0.9659185409545898,0.961132287979126,0.0,0.0
44250,0,0,1.0,1.0,1.0,1.0,0.016449086368083954,0.016221053898334503,15.523611068725586,17.142183303833008,-6.677360534667969,0.2298186868429184,0.2298187017440796,12|11|7|56|47,0.39747175574302673,0.02886228822171688,0.42219486832618713,0.017675355076789856,0.3435302972793579,0.5934515595436096,0.9878283739089966,1.0,0.9674963355064392,0.9628753066062927,0.0,0.0
44260,0,0,1.0,1.0,1.0,1.0,0.015665795654058456,0.016332922503352165,15.52804946899414,17.153079986572266,-6.701896667480469,0.2294914722442627,0.2294914722442627,12|11|7|56|47,0.4009397029876709,0.03009285219013691,0.43203938007354736,0.017675355076789856,0.3399183452129364,0.5894374847412109,0.9883414506912231,1.0,0.9690110087394714,0.9645580649375916,0.0,0.0
44270,0,0,1.0,1.0,1.0,1.0,0.015143603086471558,0.01610918529331684,15.53259563446045,17.164121627807617,-6.730649471282959,0.22910776734352112,0.22910791635513306,12|11|7|56|47,0.4048551321029663,0.03210650011897087,0.43203938007354736,0.017675355076789856,0.33629322052001953,0.5851660966873169,0.9888532757759094,1.0,0.9705014824867249,0.9662135243415833,0.0,0.0
44280,0,0,1.0,1.0,1.0,1.0,0.014882506802678108,0.015549837611615658,15.534599304199219,17.17405128479004,-6.758788108825684,0.22853785753250122,0.22853797674179077,12|11|7|56|47,0.4088824391365051,0.034343887120485306,0.43203938007354736,0.02617742493748665,0.3326023817062378,0.5804958939552307,0.9893536567687988,1.0,0.9719923734664917,0.9678855538368225,0.0,0.0
44290,0,0,1.0,1.0,1.0,1.0,0.015404699370265007,0.015437968075275421,15.537327766418457,17.1846866607666,-6.7908220291137695,0.22791056334972382,0.2279103398323059,12|11|7|56|47,0.41279783844947815,0.03591005876660347,0.43203938007354736,0.02617742493748665,0.3288608193397522,0.5755432844161987,0.9898455142974854,1.0,0.9734468460083008,0.9695106744766235,0.0,0.0
44300,0,0,1.0,1.0,1.0,1.0,0.015404699370265007,0.015326099470257759,15.541458129882812,17.196090698242188,-6.8235392570495605,0.22723987698554993,0.22723990678787231,12|11|7|56|47,0.4151470959186554,0.03825931251049042,0.44132453203201294,0.02617742493748665,0.32506439089775085,0.5702529549598694,0.9903368353843689,1.0,0.9748710989952087,0.9711145758628845,0.0,0.0
44310,0,0,1.0,1.0,1.0,1.0,0.014882506802678108,0.015885446220636368,15.546744346618652,17.20846939086914,-6.853357791900635,0.22644150257110596,0.22644168138504028,12|11|7|56|47,0.4188387989997864,0.04016109183430672,0.44132453203201294,0.02617742493748665,0.3212060332298279,0.5645703673362732,0.9908066391944885,1.0,0.9762827754020691,0.9727063775062561,0.0,0.0
44320,0,0,1.0,1.0,1.0,1.0,0.015404699370265007,0.01599731482565403,15.551872253417969,17.222822189331055,-6.884850978851318,0.22555434703826904,0.22555410861968994,12|11|7|56|47,0.42253047227859497,0.04362904280424118,0.44132453203201294,0.02617742493748665,0.31728267669677734,0.5585440993309021,0.9912590980529785,1.0,0.9776748418807983,0.974256157875061,0.0,0.0
