run,step,checkpoint,train_loss,train_accuracy,test_loss,test_accuracy,full_accuracy,hidden_diagonal_power_fraction,hidden_non_dc_diagonal_power_fraction,attention_diagonal_power_fraction,mlp_diagonal_power_fraction,sum_explained_hidden_variance,aligned_logit_consistency,top_frequency_pairs,top_frequency_power_fraction,top_frequency_sufficiency_train_accuracy,top_frequency_sufficiency_test_accuracy,top_frequency_ablation_train_accuracy,top_frequency_ablation_test_accuracy,diagonal_sufficiency_train_accuracy,diagonal_sufficiency_test_accuracy,diagonal_ablation_train_accuracy,diagonal_ablation_test_accuracy,sum_centroid_train_accuracy,sum_centroid_test_accuracy
AdamW,92000,checkpoints/adamw_seed_0/step_092000.pt,4.154582029514131e-07,1.0,1.3455678526952397e-06,1.0,1.0,0.9544476728051129,0.940175768934745,0.08374590798709207,0.47604272586703866,0.9401757121086121,0.8739107847213745,18|5|56|1|55,0.9539077490697543,1.0,1.0,0.005483028944581747,0.005034120287746191,1.0,1.0,0.003916448913514614,0.004922250751405954,1.0,1.0
AdamW,93000,checkpoints/adamw_seed_0/step_093000.pt,3.312336218641576e-07,1.0,1.0420251328469021e-06,1.0,1.0,0.9550212639506299,0.9386786892975012,0.08185382593826965,0.475263633513561,0.9386787414550781,0.8757325410842896,18|5|56|1|55,0.9545348827232424,1.0,1.0,0.005483028944581747,0.005257858894765377,1.0,1.0,0.003655352396890521,0.004698512144386768,1.0,1.0
AdamW,94000,checkpoints/adamw_seed_0/step_094000.pt,2.695436478461488e-07,1.0,8.270821467704081e-07,1.0,1.0,0.957771047922745,0.9337627700229664,0.08090574807059658,0.47506980598834386,0.9337630271911621,0.8691142797470093,18|5|56|1|55,0.9573620848341732,1.0,1.0,0.003655352396890521,0.004586642608046532,1.0,1.0,0.0023498693481087685,0.003467949340119958,1.0,1.0
AdamW,95000,checkpoints/adamw_seed_0/step_095000.pt,2.2562608137377538e-07,1.0,6.923383466528321e-07,1.0,1.0,0.9664727094639329,0.9157808646646012,0.08191606697047119,0.47625362756413686,0.9157803654670715,0.8466698527336121,18|5|56|1|55,0.9662060326805333,1.0,1.0,0.003916448913514614,0.004362904001027346,1.0,1.0,0.0044386424124240875,0.0038035574834793806,1.0,1.0
AdamW,96000,checkpoints/adamw_seed_0/step_096000.pt,0.0030635898001492023,1.0,0.004620825871825218,1.0,1.0,0.9614827300123359,0.8754613302219088,0.2072722108885734,0.48466595016298875,0.875461220741272,0.7719107866287231,5|18|1|56|36,0.9611701870283312,1.0,1.0,0.009399477392435074,0.00805459264665842,1.0,1.0,0.008616187609732151,0.007830853573977947,1.0,1.0
AdamW,97000,checkpoints/adamw_seed_0/step_097000.pt,0.0002785481628961861,1.0,0.0007623890414834023,1.0,1.0,0.9113367259938596,0.8861292974485551,0.11240294416101075,0.4832581640306218,0.8861294388771057,0.8682906627655029,5|18|1|56|10,0.9104786617983789,1.0,1.0,0.007310704793781042,0.007159637752920389,1.0,1.0,0.006788511760532856,0.0070477682165801525,1.0,1.0
AdamW,98000,checkpoints/adamw_seed_0/step_098000.pt,0.00015145266661420465,1.0,0.0005087089375592768,1.0,1.0,0.9066096201416276,0.8829232699319417,0.11005307160411268,0.4836611886448339,0.882923424243927,0.8649204969406128,5|18|1|56|10,0.905705753712095,1.0,1.0,0.008355091325938702,0.0074952454306185246,1.0,1.0,0.007571801543235779,0.007159637752920389,1.0,1.0
AdamW,99000,checkpoints/adamw_seed_0/step_099000.pt,8.142049046000466e-05,1.0,0.00024669020785950124,1.0,1.0,0.9161818620819169,0.8945190830534506,0.1079409341034513,0.48443777110848707,0.8945191502571106,0.8780298829078674,5|18|1|56|10,0.9151952108476447,1.0,1.0,0.009660574607551098,0.007718984037637711,1.0,1.0,0.008093995042145252,0.006264682859182358,1.0,1.0
AdamW,100000,checkpoints/adamw_seed_0/step_100000.pt,4.784524571732618e-05,1.0,0.0001268167543457821,1.0,1.0,0.9236663156211401,0.9051171756557402,0.10320666693955478,0.48330038883236304,0.9051169753074646,0.8910298943519592,18|5|1|56|10,0.9226408120905046,1.0,1.0,0.010966057889163494,0.009508893825113773,1.0,1.0,0.008616187609732151,0.0068240296095609665,1.0,1.0
Muon,0,checkpoints/muon_lr_0p01_seed_0_full/step_000000.pt,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,0.008144725114107132,0.9842348846823371,0.0002689714579665887,0.6548500791234245,0.9838307782067356,0.0002689361572265625,0.0,35|23|48|6|19,0.9842313643638558,0.007310704793781042,0.009508893825113773,0.011227154172956944,0.008502069860696793,0.007310704793781042,0.009508893825113773,0.010182767175137997,0.008725808002054691,0.007310704793781042,0.009508893825113773
Muon,1000,checkpoints/muon_lr_0p01_seed_0_full/step_001000.pt,1.761682533185649e-08,1.0,45.948036193847656,0.008390200324356556,0.3058187663555145,0.1757274948640741,0.00863603510405966,0.0820730987433382,0.3172577727361586,0.008635997772216797,0.004235446453094482,56|31|1|47|19,0.1698662295258261,0.04073106870055199,0.03311332315206528,0.9503916501998901,0.0070477682165801525,0.7237597703933716,0.6759145259857178,0.63002610206604,0.002013648161664605,0.7237597703933716,0.6759145259857178
Muon,2000,checkpoints/muon_lr_0p01_seed_0_full/step_002000.pt,3.1716513859691986e-08,1.0,20.24578094482422,0.010403848253190517,0.3072284460067749,0.9851162635388723,0.002968484309681675,0.5892429353367871,0.7602749070079048,0.0029684901237487793,0.001065671443939209,56|14|23|21|42,0.9850810715962885,0.06005221977829933,0.06275869905948639,0.19164490699768066,0.002237386768683791,0.9060052037239075,0.901219367980957,0.1062663197517395,0.0010068240808323026,0.9060052037239075,0.901219367980957
Muon,3000,checkpoints/muon_lr_0p01_seed_0_full/step_003000.pt,5.98193821588211e-07,1.0,16.485925674438477,0.00413916539400816,0.3028428256511688,0.9760255077028617,0.013248489546393639,0.46061628987961395,0.6915851775469957,0.01324838399887085,0.00897282361984253,1|42|31|21|56,0.9757858958370028,0.09582245349884033,0.08535630255937576,1.0,0.0016780400183051825,0.9762402176856995,0.9722564220428467,0.9663185477256775,0.0,0.9762402176856995,0.9722564220428467
Muon,4000,checkpoints/muon_lr_0p01_seed_0_full/step_004000.pt,1.0242450116493274e-05,1.0,14.18920612335205,0.002013648161664605,0.30135485529899597,0.5661629928993769,0.015211285588829232,0.15917619585192683,0.45671709849793923,0.015211164951324463,0.014058589935302734,1|42|31|21|11,0.5616648947891769,0.20078328251838684,0.17943841218948364,1.0,0.0006712159956805408,0.9937337040901184,0.9900436401367188,1.0,0.0,0.9937337040901184,0.9900436401367188
Muon,5000,checkpoints/muon_lr_0p01_seed_0_full/step_005000.pt,6.998772732913494e-06,1.0,12.365787506103516,0.004810381680727005,0.3033127188682556,0.42642102010848965,0.02412278699959599,0.09123348761354724,0.4236584411715379,0.02412271499633789,0.02673274278640747,1|42|31|20|56,0.41839868672100705,0.37545692920684814,0.3321400582790375,1.0,0.0014543014112859964,0.9937337040901184,0.9900436401367188,1.0,0.0,0.9937337040901184,0.9900436401367188
Muon,6000,checkpoints/muon_lr_0p01_seed_0_full/step_006000.pt,3.934396318072686e-06,1.0,10.080926895141602,0.016444792971014977,0.31145742535591125,0.38444317787234233,0.03826232331403881,0.05777957018545644,0.4055654403437447,0.038262248039245605,0.04979419708251953,42|20|31|1|56,0.3717753858688255,0.5402088761329651,0.48909273743629456,1.0,0.002013648161664605,1.0,1.0,0.9994778037071228,0.00022373867977876216,1.0,1.0
Muon,7000,checkpoints/muon_lr_0p01_seed_0_full/step_007000.pt,2.159272980861715e-06,1.0,7.540563106536865,0.06040944159030914,0.34223508834838867,0.6442719214737225,0.05421667160542605,0.042585670181420336,0.3980109248535178,0.054216623306274414,0.08029365539550781,42|20|31|56|1,0.6336083952560574,0.6637075543403625,0.6131558418273926,1.0,0.00805459264665842,1.0,1.0,0.992689311504364,0.00022373867977876216,1.0,1.0
Muon,8000,checkpoints/muon_lr_0p01_seed_0_full/step_008000.pt,1.1738528655769187e-06,1.0,4.900872230529785,0.1915203034877777,0.43401989340782166,0.6818042515394206,0.07352791126217373,0.033333627875792915,0.39437556872020396,0.073527991771698,0.11279088258743286,42|20|56|31|23,0.6674214170505246,0.7245430946350098,0.6755789518356323,1.0,0.03702875226736069,1.0,1.0,0.9676240086555481,0.00022373867977876216,1.0,1.0
Muon,9000,checkpoints/muon_lr_0p01_seed_0_full/step_009000.pt,6.551839533130988e-07,1.0,2.1778647899627686,0.5090054869651794,0.6562769412994385,0.7153672596975634,0.10747626879539517,0.027714001314335743,0.3944375264496407,0.10747629404067993,0.15294307470321655,42|20|56|31|23,0.6923082782525624,0.7958224415779114,0.7588096857070923,1.0,0.1827944964170456,1.0,1.0,0.8584856390953064,0.0003356079978402704,1.0,1.0
Muon,10000,checkpoints/muon_lr_0p01_seed_0_full/step_010000.pt,3.2843243502611585e-07,1.0,0.5223395824432373,0.8566953539848328,0.8996788859367371,0.7274425862844823,0.1590269689010505,0.03323706940248877,0.4061370891792433,0.159027099609375,0.20787042379379272,56|42|20|2|1,0.6883781253752012,0.8530026078224182,0.8227989673614502,1.0,0.5587873458862305,1.0,1.0,0.5765013098716736,0.0004474773595575243,1.0,1.0
