run,depth,regime,role,step,checkpoint,baseline_full_accuracy,requested_addition_power_threshold,control,replicate,selected_pair_count,source_pairs,control_pairs,target_selected_power,control_native_power,scale_factor,context,intervention_accuracy
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,random_native_addition_subset,5,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(44,44)/(69,69)|(28,28)/(85,85)|(53,53)/(60,60)",20489817728.0,3639798.25,1.0,addition_only,0.008849557489156723
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,equal_power_frequency_relocation,5,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(31,31)/(82,82)|(27,27)/(86,86)|(54,54)/(59,59)",20489817728.0,20489817728.0,1.0,addition_only,0.0
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,random_native_addition_subset,6,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(7,7)/(106,106)|(10,10)/(103,103)|(28,28)/(85,85)",20489817728.0,13622614.5,1.0,addition_only,0.008849557489156723
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,equal_power_frequency_relocation,6,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(42,42)/(71,71)|(28,28)/(85,85)|(4,4)/(109,109)",20489817728.0,20489817728.0,1.0,addition_only,0.017699114978313446
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,random_native_addition_subset,7,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(36,36)/(77,77)|(7,7)/(106,106)|(51,51)/(62,62)",20489817728.0,7501772630.671875,1.0,addition_only,0.0796460211277008
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,equal_power_frequency_relocation,7,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(43,43)/(70,70)|(55,55)/(58,58)|(20,20)/(93,93)",20489817728.0,20489817728.0,1.0,addition_only,0.017699114978313446
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,random_native_addition_subset,8,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(52,52)/(61,61)|(22,22)/(91,91)|(29,29)/(84,84)",20489817728.0,529161658.5,1.0,addition_only,0.02654867246747017
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,equal_power_frequency_relocation,8,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(42,42)/(71,71)|(55,55)/(58,58)|(51,51)/(62,62)",20489817728.0,20489817728.0,1.0,addition_only,0.0
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,random_native_addition_subset,9,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(15,15)/(98,98)|(49,49)/(64,64)|(10,10)/(103,103)",20489817728.0,11740571.3125,1.0,addition_only,0.008849557489156723
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,equal_power_frequency_relocation,9,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(14,14)/(99,99)|(20,20)/(93,93)|(36,36)/(77,77)",20489817728.0,20489817728.0,1.0,addition_only,0.02654867246747017
