branch,step,checkpoint,alpha,accuracy,family_power_share_non_dc,native_family_share,baseline_accuracy
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.800000190734863,0.998042106628418,0.8550483072077928,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.849999904632568,0.998042106628418,0.857598180024077,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.900000095367432,0.998042106628418,0.8600849808534984,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,4.949999809265137,0.9981204271316528,0.8625105974599193,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.0,0.9981987476348877,0.864876943584877,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.050000190734863,0.9982770681381226,0.867185798051269,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.099999904632568,0.9983553886413574,0.8694388790422916,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.150000095367432,0.998590350151062,0.8716379084250073,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.199999809265137,0.9987469911575317,0.8737844648736721,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.25,0.9987469911575317,0.8758801538825741,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.300000190734863,0.9987469911575317,0.8779264653012279,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.349999904632568,0.9989035725593567,0.8799248388825763,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.400000095367432,0.9989035725593567,0.8818767212782674,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.449999809265137,0.9989035725593567,0.8837834356061665,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.5,0.9989035725593567,0.8856463322260147,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.550000190734863,0.9989035725593567,0.8874666621014026,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.599999904632568,0.9990602135658264,0.8892456348444624,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.650000095367432,0.9990602135658264,0.8909844693878409,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.699999809265137,0.9990602135658264,0.8926842777199825,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.75,0.9990602135658264,0.8943461990797046,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.800000190734863,0.9990602135658264,0.8959712869711697,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.849999904632568,0.9991385340690613,0.8975605607464872,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.900000095367432,0.9991385340690613,0.8991150508104719,0.20383842843265645,0.45845407247543335
