step,branch_step,branch,stage_name,stage_kind,layer,stage_order,representative_k,representative_l,conjugate_k,conjugate_l,family,pair_power,rank,pair_power_fraction_total,pair_power_fraction_non_dc
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,0,9,0,104,b_only,8.442397117614746,5,0.0028725636078000354,0.07911137937651279
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,9,0,104,0,a_only,8.442392349243164,6,0.002872561985340148,0.07911133469341533
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,0,37,0,76,b_only,0.9847708344459534,7,0.00033507270762590623,0.009228016403093587
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,37,0,76,0,a_only,0.9847705960273743,8,0.00033507262650291184,0.009228014168938713
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,0,18,0,95,b_only,0.5993069410324097,9,0.00020391688340740542,0.0056159403679399275
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,18,0,95,0,a_only,0.5993066430091858,10,0.00020391678200366246,0.005615937575246336
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,1,0,112,0,a_only,0.5648633241653442,11,0.00019219728778131222,0.0052931787158749825
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,0,1,0,112,b_only,0.5648632049560547,12,0.00019219724721981503,0.005293177598797546
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,27,0,86,0,a_only,0.554006814956665,13,0.00018850331167166804,0.005191445356646901
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,0,27,0,86,b_only,0.5540062189102173,14,0.00018850310886418212,0.0051914397712597175
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,38,38,75,75,addition,0.4031515419483185,15,0.000137174126222151,0.0037778221205389826
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,38,75,75,38,subtraction,0.39390021562576294,16,0.00013402632081240456,0.0036911304882640025
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,0,2,0,111,b_only,0.38910186290740967,17,0.00013239365970867952,0.0036461664458249258
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,2,0,111,0,a_only,0.3891017436981201,18,0.00013239361914718233,0.003646165328747489
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,0,39,0,74,b_only,0.3820532560348511,19,0.00012999533950344358,0.003580115891153976
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,39,0,74,0,a_only,0.382053017616272,20,0.00012999525838044922,0.0035801136569991033
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,0,38,0,75,b_only,21.71404266357422,1,0.0073883007236721435,0.20347631638549918
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,38,0,75,0,a_only,21.714038848876953,2,0.007388299425704234,0.2034762806390212
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,0,36,0,77,b_only,9.775538444519043,3,0.003326170943059041,0.09160387976543446
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,36,0,77,0,a_only,9.775537490844727,4,0.0033261706185670633,0.09160387082881498
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,0,9,0,104,b_only,8.442397117614746,5,0.0028725636078000354,0.07911137937651279
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,9,0,104,0,a_only,8.442392349243164,6,0.002872561985340148,0.07911133469341533
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,0,37,0,76,b_only,0.9847708344459534,7,0.00033507270762590623,0.009228016403093587
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,37,0,76,0,a_only,0.9847705960273743,8,0.00033507262650291184,0.009228014168938713
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,0,18,0,95,b_only,0.5993069410324097,9,0.00020391688340740542,0.0056159403679399275
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,18,0,95,0,a_only,0.5993066430091858,10,0.00020391678200366246,0.005615937575246336
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,1,0,112,0,a_only,0.5648633241653442,11,0.00019219728778131222,0.0052931787158749825
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,0,1,0,112,b_only,0.5648632049560547,12,0.00019219724721981503,0.005293177598797546
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,27,0,86,0,a_only,0.554006814956665,13,0.00018850331167166804,0.005191445356646901
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,0,27,0,86,b_only,0.5540062189102173,14,0.00018850310886418212,0.0051914397712597175
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,38,38,75,75,addition,0.4031515419483185,15,0.000137174126222151,0.0037778221205389826
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,38,75,75,38,subtraction,0.39390021562576294,16,0.00013402632081240456,0.0036911304882640025
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,0,2,0,111,b_only,0.38910186290740967,17,0.00013239365970867952,0.0036461664458249258
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,2,0,111,0,a_only,0.3891017436981201,18,0.00013239361914718233,0.003646165328747489
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,0,39,0,74,b_only,0.3820532560348511,19,0.00012999533950344358,0.003580115891153976
126200,126200,freeze,layer_1_mlp_activation,mlp_activation,1,3,39,0,74,0,a_only,0.382053017616272,20,0.00012999525838044922,0.0035801136569991033
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,0,38,0,75,b_only,71.8715591430664,1,0.005400380845054775,0.25214116662840974
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,38,0,75,0,a_only,71.8715591430664,2,0.005400380845054775,0.25214116662840974
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,0,9,0,104,b_only,29.86197280883789,3,0.002243808648026976,0.10476233925659333
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,9,0,104,0,a_only,29.861968994140625,4,0.002243808361393177,0.10476232587380005
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,0,36,0,77,b_only,13.746480941772461,5,0.0010329013764274271,0.04822566510341366
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,36,0,77,0,a_only,13.746480941772461,6,0.0010329013764274271,0.04822566510341366
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,0,37,0,76,b_only,2.583479404449463,7,0.00019412091313631053,0.009063411435136491
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,37,0,76,0,a_only,2.5834789276123047,8,0.00019412087730708564,0.009063409762287332
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,0,18,0,95,b_only,2.0327796936035156,9,0.0001527417054874312,0.00713143626707002
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,18,0,95,0,a_only,2.0327792167663574,10,0.0001527416696582063,0.00713143459422086
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,27,0,86,0,a_only,1.5417804718017578,11,0.00011584835262337526,0.005408903486720843
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,0,27,0,86,b_only,1.5417802333831787,12,0.00011584833470876281,0.005408902650296263
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,0,1,0,112,b_only,1.4437077045440674,13,0.00010847923053899592,0.005064842744952225
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,1,0,112,0,a_only,1.4437074661254883,14,0.00010847921262438348,0.005064841908527644
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,14,0,99,0,a_only,0.78046053647995,15,5.864328229108835e-05,0.002738026453325849
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,0,14,0,99,b_only,0.7804604768753052,16,5.864327781243524e-05,0.002738026244219704
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,33,0,80,0,a_only,0.725409984588623,17,5.450682067138386e-05,0.0025448970633012544
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,0,33,0,80,b_only,0.7254093885421753,18,5.4506775884852754e-05,0.002544894972239804
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,2,0,111,0,a_only,0.7132751941680908,19,5.359502064189864e-05,0.00250232556144565
126200,126200,control,layer_1_mlp_output,mlp_output,1,4,0,2,0,111,b_only,0.7132749557495117,20,5.35950027272862e-05,0.00250232472502107
126200,126200,freeze,layer_1_mlp_output,mlp_output,1,4,0,38,0,75,b_only,71.8715591430664,1,0.005400380845054775,0.25214116662840974
126200,126200,freeze,layer_1_mlp_output,mlp_output,1,4,38,0,75,0,a_only,71.8715591430664,2,0.005400380845054775,0.25214116662840974
126200,126200,freeze,layer_1_mlp_output,mlp_output,1,4,0,9,0,104,b_only,29.86197280883789,3,0.002243808648026976,0.10476233925659333
126200,126200,freeze,layer_1_mlp_output,mlp_output,1,4,9,0,104,0,a_only,29.861968994140625,4,0.002243808361393177,0.10476232587380005
126200,126200,freeze,layer_1_mlp_output,mlp_output,1,4,0,36,0,77,b_only,13.746480941772461,5,0.0010329013764274271,0.04822566510341366
126200,126200,freeze,layer_1_mlp_output,mlp_output,1,4,36,0,77,0,a_only,13.746480941772461,6,0.0010329013764274271,0.04822566510341366
