Device: cpu
Source checkpoint: followup_studies/work/control_provenance/parity_source.pt
Starting step: 16000
Branch mode: control
Update hidden Muon group: True
Update auxiliary AdamW group: True
Additional steps: 2000
Evaluation interval: 10
Output CSV: followup_studies/work/control_provenance/parity_runs/group_historical/trajectory.csv
step= 17420 | train_acc=1.0000 | test_acc=0.7827 | hidden_delta=204.0975 | aux_delta=2.7092
step= 17430 | train_acc=1.0000 | test_acc=0.7820 | hidden_delta=204.4397 | aux_delta=2.6842
step= 17440 | train_acc=1.0000 | test_acc=0.7827 | hidden_delta=204.7886 | aux_delta=2.6596
step= 17450 | train_acc=1.0000 | test_acc=0.7832 | hidden_delta=205.1426 | aux_delta=2.6355
step= 17460 | train_acc=1.0000 | test_acc=0.7847 | hidden_delta=205.4996 | aux_delta=2.6118
step= 17470 | train_acc=1.0000 | test_acc=0.7852 | hidden_delta=205.8618 | aux_delta=2.5886
step= 17480 | train_acc=1.0000 | test_acc=0.7857 | hidden_delta=206.2245 | aux_delta=2.5659
step= 17490 | train_acc=1.0000 | test_acc=0.7863 | hidden_delta=206.5888 | aux_delta=2.5435
step= 17500 | train_acc=1.0000 | test_acc=0.7874 | hidden_delta=206.9525 | aux_delta=2.5216
step= 17510 | train_acc=1.0000 | test_acc=0.7885 | hidden_delta=207.3174 | aux_delta=2.5002
step= 17520 | train_acc=1.0000 | test_acc=0.7901 | hidden_delta=207.6802 | aux_delta=2.4792
step= 17530 | train_acc=1.0000 | test_acc=0.7919 | hidden_delta=208.0390 | aux_delta=2.4586
step= 17540 | train_acc=1.0000 | test_acc=0.7942 | hidden_delta=208.3934 | aux_delta=2.4384
step= 17550 | train_acc=1.0000 | test_acc=0.7958 | hidden_delta=208.7441 | aux_delta=2.4187
step= 17560 | train_acc=1.0000 | test_acc=0.7968 | hidden_delta=209.0888 | aux_delta=2.3993
step= 17570 | train_acc=1.0000 | test_acc=0.7994 | hidden_delta=209.4247 | aux_delta=2.3804
step= 17580 | train_acc=1.0000 | test_acc=0.8017 | hidden_delta=209.7503 | aux_delta=2.3619
step= 17590 | train_acc=1.0000 | test_acc=0.8041 | hidden_delta=210.0627 | aux_delta=2.3439
step= 17600 | train_acc=1.0000 | test_acc=0.8065 | hidden_delta=210.3598 | aux_delta=2.3262
step= 17610 | train_acc=1.0000 | test_acc=0.8085 | hidden_delta=210.6456 | aux_delta=2.3089
step= 17620 | train_acc=1.0000 | test_acc=0.8111 | hidden_delta=210.9232 | aux_delta=2.2920
step= 17630 | train_acc=1.0000 | test_acc=0.8150 | hidden_delta=211.1919 | aux_delta=2.2755
step= 17640 | train_acc=1.0000 | test_acc=0.8177 | hidden_delta=211.4513 | aux_delta=2.2594
step= 17650 | train_acc=1.0000 | test_acc=0.8211 | hidden_delta=211.7040 | aux_delta=2.2437
step= 17660 | train_acc=1.0000 | test_acc=0.8250 | hidden_delta=211.9467 | aux_delta=2.2284
step= 17670 | train_acc=1.0000 | test_acc=0.8292 | hidden_delta=212.1778 | aux_delta=2.2135
step= 17680 | train_acc=1.0000 | test_acc=0.8350 | hidden_delta=212.4007 | aux_delta=2.1989
step= 17690 | train_acc=1.0000 | test_acc=0.8392 | hidden_delta=212.6167 | aux_delta=2.1847
step= 17700 | train_acc=1.0000 | test_acc=0.8452 | hidden_delta=212.8282 | aux_delta=2.1709
step= 17710 | train_acc=1.0000 | test_acc=0.8507 | hidden_delta=213.0353 | aux_delta=2.1575
step= 17720 | train_acc=1.0000 | test_acc=0.8565 | hidden_delta=213.2391 | aux_delta=2.1444
step= 17730 | train_acc=1.0000 | test_acc=0.8614 | hidden_delta=213.4397 | aux_delta=2.1317
step= 17740 | train_acc=1.0000 | test_acc=0.8662 | hidden_delta=213.6406 | aux_delta=2.1193
step= 17750 | train_acc=1.0000 | test_acc=0.8709 | hidden_delta=213.8416 | aux_delta=2.1072
step= 17760 | train_acc=1.0000 | test_acc=0.8755 | hidden_delta=214.0423 | aux_delta=2.0956
step= 17770 | train_acc=1.0000 | test_acc=0.8814 | hidden_delta=214.2449 | aux_delta=2.0842
step= 17780 | train_acc=1.0000 | test_acc=0.8866 | hidden_delta=214.4475 | aux_delta=2.0732
step= 17790 | train_acc=1.0000 | test_acc=0.8935 | hidden_delta=214.6462 | aux_delta=2.0625
step= 17800 | train_acc=1.0000 | test_acc=0.9004 | hidden_delta=214.8426 | aux_delta=2.0522
step= 17810 | train_acc=1.0000 | test_acc=0.9057 | hidden_delta=215.0362 | aux_delta=2.0422
step= 17820 | train_acc=1.0000 | test_acc=0.9126 | hidden_delta=215.2374 | aux_delta=2.0325
step= 17830 | train_acc=1.0000 | test_acc=0.9179 | hidden_delta=215.4574 | aux_delta=2.0231
step= 17840 | train_acc=1.0000 | test_acc=0.9246 | hidden_delta=215.6958 | aux_delta=2.0140
step= 17850 | train_acc=1.0000 | test_acc=0.9302 | hidden_delta=215.9424 | aux_delta=2.0052
step= 17860 | train_acc=1.0000 | test_acc=0.9355 | hidden_delta=216.1919 | aux_delta=1.9968
step= 17870 | train_acc=1.0000 | test_acc=0.9404 | hidden_delta=216.4566 | aux_delta=1.9886
step= 17880 | train_acc=1.0000 | test_acc=0.9450 | hidden_delta=216.7387 | aux_delta=1.9807
step= 17890 | train_acc=1.0000 | test_acc=0.9514 | hidden_delta=217.0216 | aux_delta=1.9731
step= 17900 | train_acc=1.0000 | test_acc=0.9560 | hidden_delta=217.2933 | aux_delta=1.9658
step= 17910 | train_acc=1.0000 | test_acc=0.9603 | hidden_delta=217.5627 | aux_delta=1.9588
