Token embedding attribute: token_embedding
Position embedding attribute: position_embedding
Unembedding attribute: unembedding
token_embedding parameters: ['token_embedding.weight']
position_embedding parameters: ['position_embedding.weight']
unembedding parameters: ['unembedding.weight']
other_auxiliary parameters: []
Device: cpu
Source checkpoint: followup_studies/work/control_provenance/parity_source.pt
Starting step: 16000
Branch mode: control
Frozen group: None
Additional steps: 2000
Evaluation interval: 10
Output CSV: followup_studies/work/control_provenance/parity_runs/component/trajectory.csv
step= 16890 | train_acc=1.0000 | test_acc=0.7159 | token_delta=3.6589 | position_delta=0.5158 | unembedding_delta=3.0169
step= 16900 | train_acc=1.0000 | test_acc=0.7185 | token_delta=3.6148 | position_delta=0.5106 | unembedding_delta=2.9860
step= 16910 | train_acc=1.0000 | test_acc=0.7225 | token_delta=3.5713 | position_delta=0.5054 | unembedding_delta=2.9555
step= 16920 | train_acc=1.0000 | test_acc=0.7231 | token_delta=3.5284 | position_delta=0.5003 | unembedding_delta=2.9253
step= 16930 | train_acc=1.0000 | test_acc=0.7247 | token_delta=3.4860 | position_delta=0.4954 | unembedding_delta=2.8953
step= 16940 | train_acc=1.0000 | test_acc=0.7275 | token_delta=3.4442 | position_delta=0.4904 | unembedding_delta=2.8657
step= 16950 | train_acc=1.0000 | test_acc=0.7288 | token_delta=3.4029 | position_delta=0.4856 | unembedding_delta=2.8364
step= 16960 | train_acc=1.0000 | test_acc=0.7327 | token_delta=3.3622 | position_delta=0.4809 | unembedding_delta=2.8074
step= 16970 | train_acc=1.0000 | test_acc=0.7418 | token_delta=3.3221 | position_delta=0.4762 | unembedding_delta=2.7787
step= 16980 | train_acc=1.0000 | test_acc=0.7513 | token_delta=3.2825 | position_delta=0.4716 | unembedding_delta=2.7503
step= 16990 | train_acc=1.0000 | test_acc=0.7523 | token_delta=3.2434 | position_delta=0.4670 | unembedding_delta=2.7221
step= 17000 | train_acc=1.0000 | test_acc=0.7568 | token_delta=3.2049 | position_delta=0.4626 | unembedding_delta=2.6943
step= 17010 | train_acc=1.0000 | test_acc=0.7591 | token_delta=3.1669 | position_delta=0.4582 | unembedding_delta=2.6667
step= 17020 | train_acc=1.0000 | test_acc=0.7606 | token_delta=3.1294 | position_delta=0.4539 | unembedding_delta=2.6394
step= 17030 | train_acc=1.0000 | test_acc=0.7631 | token_delta=3.0925 | position_delta=0.4497 | unembedding_delta=2.6124
step= 17040 | train_acc=1.0000 | test_acc=0.7597 | token_delta=3.0561 | position_delta=0.4456 | unembedding_delta=2.5857
step= 17050 | train_acc=1.0000 | test_acc=0.7590 | token_delta=3.0202 | position_delta=0.4415 | unembedding_delta=2.5593
step= 17060 | train_acc=1.0000 | test_acc=0.7600 | token_delta=2.9849 | position_delta=0.4375 | unembedding_delta=2.5331
step= 17070 | train_acc=1.0000 | test_acc=0.7626 | token_delta=2.9500 | position_delta=0.4336 | unembedding_delta=2.5072
step= 17080 | train_acc=1.0000 | test_acc=0.7736 | token_delta=2.9157 | position_delta=0.4297 | unembedding_delta=2.4815
