study_group,event,reference_step,current_step,reference_test_accuracy,arm,train_accuracy,heldout_accuracy,heldout_cross_entropy,heldout_minimum_margin,heldout_centered_logit_relative_error,head_change_norm,relative_head_change,source
fresh_interventions,seed1_first,17300,17721,0.991945407763732,inverse_gl,1.0,0.9513368385725472,0.1915861064062726,-14.965606689453125,0.5651940555548769,12.999193145105288,13.229801807311649,work/basis_study/fresh_interventions/seed1_first/seed1_first/instant.json
fresh_interventions,seed1_first,17300,17721,0.991945407763732,backward_ols,1.0,0.9304172726255733,0.2971256090737103,-13.119903564453125,0.4555638328628445,10.537758131405662,10.7247003729903,work/basis_study/fresh_interventions/seed1_first/seed1_first/instant.json
fresh_interventions,seed1_first,17300,17721,0.991945407763732,old_head_norm_matched,0.3276762402088773,0.22664727598165343,23.67261747150562,-137.34051513671875,6.488372191908088,0.3714864274014882,0.378076681665318,work/basis_study/fresh_interventions/seed1_first/seed1_first/instant.json
fresh_interventions,seed1_first,17300,17721,0.991945407763732,healthy_logit_distillation,1.0,0.9304172726255733,0.2971256090737103,-13.119903564453125,0.4555638328628445,10.537758131405662,10.7247003729903,work/basis_study/fresh_interventions/seed1_first/seed1_first/instant.json
fresh_interventions,seed1_first,17300,17721,0.991945407763732,random_correction_0,0.011488250652741514,0.010515717641794384,2555.7952968546347,-6682.346435546875,254.69866499235164,12.999193162935951,13.229801825458631,work/basis_study/fresh_interventions/seed1_first/seed1_first/instant.json
fresh_interventions,seed1_first,17300,17721,0.991945407763732,random_correction_1,0.007571801566579634,0.007607114889808703,2866.4587668806566,-8331.810302734375,286.3791665086018,12.999193147181446,13.229801809424638,work/basis_study/fresh_interventions/seed1_first/seed1_first/instant.json
fresh_interventions,seed1_first,17300,17721,0.991945407763732,random_correction_2,0.009399477806788513,0.007607114889808703,2421.428493169095,-6781.0869140625,286.1170567529134,12.999193158338407,13.229801820779526,work/basis_study/fresh_interventions/seed1_first/seed1_first/instant.json
fresh_interventions,seed2_adjacent,18068,18069,0.9998881306633851,random_orthogonal_size_0,0.010704960835509139,0.010068240295335049,19.561430880109295,-69.68585205078125,1.6134328641555304,0.010220623973580987,0.012693247927721888,work/basis_study/fresh_interventions/seed2_adjacent/random_specificity/seed2_adjacent/instant.json
fresh_interventions,seed2_adjacent,18068,18069,0.9998881306633851,random_orthogonal_size_1,0.009921671018276762,0.00928515493903121,22.06519805934643,-71.2445068359375,1.6347972367300923,0.010220623620499455,0.012693247489221125,work/basis_study/fresh_interventions/seed2_adjacent/random_specificity/seed2_adjacent/instant.json
fresh_interventions,seed2_adjacent,18068,18069,0.9998881306633851,random_orthogonal_size_2,0.009921671018276762,0.00928515493903121,21.84430569248498,-70.26239013671875,1.6168001263216918,0.010220624031023907,0.012693247999061684,work/basis_study/fresh_interventions/seed2_adjacent/random_specificity/seed2_adjacent/instant.json
fresh_interventions,seed2_adjacent,18068,18069,0.9998881306633851,random_orthogonal_size_3,0.010704960835509139,0.009956370958720215,21.381451192952515,-71.45550537109375,1.6505063108786355,0.01022062424099786,0.012693248259833576,work/basis_study/fresh_interventions/seed2_adjacent/random_specificity/seed2_adjacent/instant.json
fresh_interventions,seed2_adjacent,18068,18069,0.9998881306633851,random_orthogonal_size_4,0.009399477806788513,0.00894954692918671,21.344881997567256,-69.042236328125,1.5995678377844327,0.01022062391752181,0.012693247858100599,work/basis_study/fresh_interventions/seed2_adjacent/random_specificity/seed2_adjacent/instant.json
fresh_interventions,seed2_adjacent,18068,18069,0.9998881306633851,random_orthogonal_size_5,0.009921671018276762,0.00928515493903121,19.454854571584804,-68.73052978515625,1.5906789797824192,0.010220623770220916,0.012693247675163943,work/basis_study/fresh_interventions/seed2_adjacent/random_specificity/seed2_adjacent/instant.json
fresh_interventions,seed2_adjacent,18068,18069,0.9998881306633851,random_orthogonal_size_6,0.009138381201044387,0.00894954692918671,20.52855996604636,-69.9755859375,1.6052203464819126,0.010220623883327395,0.0126932478156337,work/basis_study/fresh_interventions/seed2_adjacent/random_specificity/seed2_adjacent/instant.json
fresh_interventions,seed2_adjacent,18068,18069,0.9998881306633851,random_orthogonal_size_7,0.010966057441253264,0.009956370958720215,20.487369742638514,-69.65606689453125,1.6017425115605826,0.010220624018409839,0.012693247983395958,work/basis_study/fresh_interventions/seed2_adjacent/random_specificity/seed2_adjacent/instant.json
fresh_interventions,seed2_adjacent,18068,18069,0.9998881306633851,random_orthogonal_size_8,0.010182767624020888,0.009732632285490548,19.42748158841767,-66.40118408203125,1.568290919285924,0.010220624082207317,0.012693248062627638,work/basis_study/fresh_interventions/seed2_adjacent/random_specificity/seed2_adjacent/instant.json
fresh_interventions,seed2_adjacent,18068,18069,0.9998881306633851,random_orthogonal_size_9,0.008877284595300261,0.008837677592571876,22.13162679053727,-70.10498046875,1.6258469383545817,0.010220623910394641,0.01269324784924919,work/basis_study/fresh_interventions/seed2_adjacent/random_specificity/seed2_adjacent/instant.json
