pair,healthy_accuracy,later_accuracy,backward_linear_accuracy,backward_relative_error,backward_centered_error,backward_affine_centered_error,backward_map_condition,oracle_backward_relative_error,median_principal_angle_degrees,max_principal_angle_degrees,basis_predicted_accuracy,residual_only_accuracy,readout_change_only_accuracy,basis_predicted_argmax_agreement,basis_predicted_actual_flip_recall,basis_norm_over_delta,residual_norm_over_delta,normalized_cross_term,native_cond100_backward_relative_floor
seed1_adjacent_event,0.9413804676138271,0.09094977066785993,0.9432822463362792,0.006708536317423947,0.046316277911195254,0.046175156062428044,19.55872195057427,0.006569119974522635,2.358690113388213,10.46612867643698,0.09039042398478576,0.9433941156728941,0.13558563597717865,0.9914979304172726,0.9957118353344768,0.9990095561119103,0.04415835202847875,2.994674321272682e-05,2.256153536589868e-06
seed1_first_event,0.991945407763732,0.09094977066785993,0.9304172726255733,0.11287057064100524,0.4305416326314333,0.4290842754601791,3911.059763091225,0.11033507987887832,25.45885291067265,62.07816869760186,0.08636312786665175,0.9284036245665063,0.2160196890032442,0.9476451504642578,0.9739141134489971,0.9656739967713702,0.26493175356355503,-0.0027151020866524166,2.210293877797962e-06
seed1_matched_healthy,1.0,1.0,1.0,0.06316392465564837,0.10818239801868837,0.1079802596589164,62.00735954556049,0.06121084171419675,5.247293420081298,15.980984264326604,1.0,1.0,1.0,1.0,,0.7827624263112694,0.6421289613741371,-0.02504661908013329,2.2421651400644936e-06
seed2_adjacent_event,0.9998881306633851,0.00928515493903121,0.9998881306633851,0.0008524082520019716,0.011030229814088811,0.010971813233088204,3.1327493184053563,0.0008315772554217621,0.4478742369396763,1.9330839059075384,0.00928515493903121,0.9998881306633851,0.010068240295335049,1.0,1.0,0.9999927343540597,0.008228054562887673,-5.316964279915554e-05,2.676640266195355e-06
seed2_first_event,1.0,0.00928515493903121,1.0,0.00786390429730183,0.09051605953034415,0.08894058970154176,90.70907587683352,0.007674343220935959,4.082667018984216,20.26160261631786,0.009397024275646046,1.0,0.026736771450945294,0.9998881306633851,0.9998870822041553,0.9986031244186336,0.05512690495364356,-0.000247175748424865,2.7126265835343656e-06
seed2_matched_healthy,1.0,1.0,1.0,0.013998816368684809,0.02760618640600218,0.026718294748570796,27.137504103547244,0.013637582814465565,1.2531378424354078,8.477324825806024,1.0,1.0,1.0,1.0,,0.7785054472424102,0.6394439697109233,-0.014959321785769229,2.607765228807377e-06
seed3_adjacent_event,0.8954021702651304,0.5359659917216691,0.9049110638773912,0.017417467451291496,0.10656025743353673,0.10527751590065253,53.50268813867545,0.016995852820572303,6.664763044884815,16.014869854508092,0.5280232688220159,0.9058060185703098,0.5079986575679606,0.9040161091844725,0.9837914023960536,0.998817132950408,0.05322673738043529,-0.00046875064743876843,3.092162189388068e-06
seed3_first_event,0.9907148450609687,0.5359659917216691,0.9258306298243651,0.1474261543756471,0.4572971158013331,0.45087645209075794,6882.586355365567,0.14368210294556188,27.616904734914236,70.68025540613935,0.5809374650408323,0.8894730954245441,0.4851773128985345,0.7182011410672334,0.8785973397823458,0.9802748771867277,0.17771875611336502,0.007477208882063694,2.955306199415832e-06
seed3_matched_healthy,1.0,1.0,1.0,0.08380117522340919,0.14296353692654024,0.14288050187325063,63.69000790375599,0.0813030306717595,7.200967777196074,20.09042720363879,1.0,1.0,1.0,1.0,,0.7074337284267156,0.7217129909422281,-0.021332121410500466,2.219209912690198e-06
seed3_peak_event,0.9907148450609687,0.32117686542118806,0.9467501957713391,0.14511439602545959,0.4501199153340712,0.44459521648450506,6064.683614098457,0.14138956919954274,27.121810885468683,70.13817636666725,0.33929969795279113,0.8998769437297237,0.37263676026401166,0.6684192862736325,0.9526871084734586,0.9800323807429172,0.18059034517779154,0.0069236599239361684,2.955306199415832e-06
