seed,pair,endpoint,step,condition,split,n,correct,accuracy,uniform_tie_expected_accuracy,tied_maximum_rows,positive_margin_rows,minimum_margin,mean_margin
1,seed1_adjacent_event,1,17721,training_donors_only,heldout,8939,946,0.10582839243763284,0.10582839243763284,0,946,-37.729517608684205,-11.894513856229997
1,seed1_adjacent_event,1,17721,training_donors_only,full_grid,12769,1356,0.10619469026548672,0.10619469026548672,0,1356,-37.729517608684205,-11.913485279683202
1,seed1_adjacent_event,1,17721,heldout_donors_only,training,3830,30,0.007832898172323759,0.007832898172323759,0,30,-41.65198763644264,-17.15925146828865
1,seed1_adjacent_event,1,17721,heldout_donors_only,heldout,8939,83,0.00928515493903121,0.00928515493903121,0,83,-41.65198763644264,-17.263961914223255
1,seed1_adjacent_event,1,17721,heldout_donors_only,full_grid,12769,113,0.008849557522123894,0.008849557522123894,0,113,-41.65198763644264,-17.232554520697565
1,seed1_adjacent_event,1,17721,heldout_donors_leave_one_out,training,3830,30,0.007832898172323759,0.007832898172323759,0,30,-41.65198763644264,-17.15925146828865
1,seed1_adjacent_event,1,17721,heldout_donors_leave_one_out,heldout,8939,83,0.00928515493903121,0.00928515493903121,0,83,-41.83698316367236,-17.263961914223255
1,seed1_adjacent_event,1,17721,heldout_donors_leave_one_out,full_grid,12769,113,0.008849557522123894,0.008849557522123894,0,113,-41.83698316367236,-17.232554520697562
2,seed2_adjacent_event,0,18068,raw,training,3830,3830,1.0,1.0,0,3830,7.471260961667781,16.55007365105097
2,seed2_adjacent_event,0,18068,raw,heldout,8939,8938,0.9998881306633851,0.9998881306633851,0,8938,-0.6901646753005934,13.42006214429098
2,seed2_adjacent_event,0,18068,raw,full_grid,12769,12768,0.9999216853316626,0.9999216853316626,0,12768,-0.6901646753005934,14.358894008249846
2,seed2_adjacent_event,0,18068,complete_family_with_dc,training,3830,3830,1.0,1.0,0,3830,9.487015827006871,16.18403751052335
2,seed2_adjacent_event,0,18068,complete_family_with_dc,heldout,8939,8939,1.0,1.0,0,8939,9.487015827006871,16.085838786656307
2,seed2_adjacent_event,0,18068,complete_family_with_dc,full_grid,12769,12769,1.0,1.0,0,12769,9.487015827006871,16.115293020536075
2,seed2_adjacent_event,0,18068,training_donors_only,training,3830,3830,1.0,1.0,0,3830,11.252064074343139,17.976318166250813
2,seed2_adjacent_event,0,18068,training_donors_only,heldout,8939,8939,1.0,1.0,0,8939,11.252064074343139,17.935771252719626
2,seed2_adjacent_event,0,18068,training_donors_only,full_grid,12769,12769,1.0,1.0,0,12769,11.252064074343139,17.947933103986323
2,seed2_adjacent_event,0,18068,heldout_donors_only,training,3830,3830,1.0,1.0,0,3830,8.727374809165894,15.373870037916165
2,seed2_adjacent_event,0,18068,heldout_donors_only,heldout,8939,8939,1.0,1.0,0,8939,8.727374809165894,15.280726270005271
2,seed2_adjacent_event,0,18068,heldout_donors_only,full_grid,12769,12769,1.0,1.0,0,12769,8.727374809165894,15.308664294212235
2,seed2_adjacent_event,0,18068,heldout_donors_leave_one_out,training,3830,3830,1.0,1.0,0,3830,8.727374809165894,15.373870037916165
2,seed2_adjacent_event,0,18068,heldout_donors_leave_one_out,heldout,8939,8939,1.0,1.0,0,8939,8.606116213146606,15.280284327454213
2,seed2_adjacent_event,0,18068,heldout_donors_leave_one_out,full_grid,12769,12769,1.0,1.0,0,12769,8.606116213146606,15.308354910199089
2,seed2_adjacent_event,1,18069,raw,training,3830,38,0.009921671018276762,0.009921671018276762,0,38,-60.40896157993734,-17.50818338219928
2,seed2_adjacent_event,1,18069,raw,heldout,8939,83,0.00928515493903121,0.00928515493903121,0,83,-69.03101625934164,-20.304967317708865
