seed,frequency,heldout_correct,heldout_n,minimum_margin
2,4,8939,8939,2.7353475153316792e-05
2,5,8939,8939,2.735347515332026e-05
2,6,8939,8939,2.735347515332026e-05
2,7,8939,8939,2.735347515332026e-05
2,8,8939,8939,2.73534751533272e-05
2,9,8939,8939,2.735347515332373e-05
2,10,8939,8939,2.73534751533272e-05
2,11,8939,8939,2.7353475153309853e-05
2,12,8939,8939,2.735347515332373e-05
2,13,8939,8939,2.73534751533272e-05
2,14,8939,8939,2.735347515332026e-05
2,15,8939,8939,2.735347515332026e-05
2,16,8939,8939,2.735347515332026e-05
2,17,8939,8939,2.73534751533272e-05
2,18,8939,8939,2.735347515332373e-05
2,19,8939,8939,2.735347515332373e-05
2,20,8939,8939,2.7353475153316792e-05
2,21,8939,8939,2.735347515332373e-05
2,22,8939,8939,2.735347515332026e-05
2,23,8939,8939,2.7353475153313322e-05
2,24,8939,8939,2.73534751533272e-05
2,25,8939,8939,2.735347515332026e-05
2,26,8939,8939,2.735347515332026e-05
2,27,8939,8939,2.735347515332026e-05
2,28,8939,8939,2.735347515332373e-05
2,29,8939,8939,2.7353475153316792e-05
2,30,8939,8939,2.73534751533272e-05
2,31,8939,8939,2.73534751533272e-05
2,32,8939,8939,2.735347515332373e-05
2,33,8939,8939,2.7353475153313322e-05
2,34,8939,8939,2.735347515332026e-05
2,35,8939,8939,2.735347515332373e-05
2,36,8939,8939,2.735347515332373e-05
2,37,8939,8939,2.7353475153313322e-05
2,38,8939,8939,2.7353475153316792e-05
2,39,8939,8939,2.73534751533272e-05
2,40,8939,8939,2.735347515332373e-05
2,41,8939,8939,2.735347515332373e-05
2,42,8939,8939,2.735347515332026e-05
2,43,8939,8939,2.73534751533272e-05
2,44,8939,8939,2.735347515332373e-05
2,45,8939,8939,2.735347515332026e-05
2,46,8939,8939,2.735347515332026e-05
2,47,8939,8939,2.73534751533272e-05
2,48,8939,8939,2.735347515332026e-05
2,49,8939,8939,2.735347515332026e-05
2,50,8939,8939,2.735347515332026e-05
2,51,8939,8939,2.735347515332026e-05
2,52,8939,8939,2.735347515332373e-05
2,53,8939,8939,2.735347515332373e-05
2,54,8939,8939,2.735347515332373e-05
2,55,8939,8939,2.735347515332373e-05
2,56,8939,8939,2.735347515332373e-05
3,1,8939,8939,2.7353475153316792e-05
3,2,8939,8939,2.735347515332373e-05
3,3,8939,8939,2.735347515332026e-05
3,4,8939,8939,2.7353475153316792e-05
3,5,8939,8939,2.735347515332026e-05
3,6,8939,8939,2.735347515332026e-05
3,7,8939,8939,2.7353475153316792e-05
3,8,8939,8939,2.735347515332026e-05
3,9,8939,8939,2.735347515332373e-05
3,10,8939,8939,2.7353475153316792e-05
3,11,8939,8939,2.73534751533272e-05
3,12,8939,8939,2.735347515332026e-05
3,13,8939,8939,2.73534751533272e-05
3,14,8939,8939,2.735347515332026e-05
3,15,8939,8939,2.735347515332373e-05
3,16,8939,8939,2.735347515332026e-05
3,17,8939,8939,2.735347515332373e-05
3,18,8939,8939,2.735347515332373e-05
3,19,8939,8939,2.735347515332026e-05
3,20,8939,8939,2.735347515332026e-05
3,21,8939,8939,2.73534751533272e-05
3,22,8939,8939,2.735347515332026e-05
3,23,8939,8939,2.7353475153313322e-05
3,24,8939,8939,2.73534751533272e-05
3,25,8939,8939,2.735347515332026e-05
3,26,8939,8939,2.735347515332373e-05
3,27,8939,8939,2.735347515332373e-05
3,28,8939,8939,2.735347515332373e-05
3,29,8939,8939,2.7353475153316792e-05
3,30,8939,8939,2.735347515332026e-05
3,31,8939,8939,2.735347515332373e-05
3,32,8939,8939,2.735347515332373e-05
3,33,8939,8939,2.735347515332026e-05
3,34,8939,8939,2.735347515332373e-05
3,35,8939,8939,2.735347515332373e-05
3,36,8939,8939,2.73534751533272e-05
3,37,8939,8939,2.735347515332373e-05
3,38,8939,8939,2.735347515332026e-05
3,39,8939,8939,2.735347515332373e-05
3,40,8939,8939,2.73534751533272e-05
3,41,8939,8939,2.735347515332373e-05
3,42,8939,8939,2.735347515332373e-05
3,43,8939,8939,2.735347515332373e-05
3,44,8939,8939,2.735347515332373e-05
3,45,8939,8939,2.735347515332026e-05
3,46,8939,8939,2.7353475153316792e-05
3,47,8939,8939,2.73534751533272e-05
3,48,8939,8939,2.735347515332026e-05
3,49,8939,8939,2.735347515332026e-05
3,50,8939,8939,2.735347515332026e-05
3,51,8939,8939,2.735347515332373e-05
3,52,8939,8939,2.735347515332373e-05
