seed,lookup,control,context,replicate,rng_seed,split,n,correct,accuracy,uniform_tie_expected_accuracy,positive_margin_rows,tied_maximum_rows,minimum_margin,mean_margin
0,one_hot,pair_global_phase,isolated_family_with_dc,17,700017,heldout,8939,0,0.0,0.0,0,0,-0.10585825459853979,-0.0815913110025741
0,one_hot,pair_global_phase,isolated_family_with_dc,17,700017,full_grid,12769,0,0.0,0.0,0,0,-0.10585825459853979,-0.08153342751412217
0,one_hot,pair_global_phase,full_lookup_table,17,700017,training,3830,3830,1.0,1.0,3830,0,0.5334578060263386,0.6135299254211807
0,one_hot,pair_global_phase,full_lookup_table,17,700017,heldout,8939,0,0.0,0.0,0,0,-0.4665421939736613,-0.3793399653530538
0,one_hot,pair_global_phase,full_lookup_table,17,700017,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,0,-0.4665421939736613,-0.08153342751412214
0,one_hot,pair_global_phase,isolated_family_with_dc,18,700018,training,3830,0,0.0,0.0,0,0,-0.09159054857353248,-0.07266624997825644
0,one_hot,pair_global_phase,isolated_family_with_dc,18,700018,heldout,8939,0,0.0,0.0,0,0,-0.09159054857353248,-0.07249312911642698
0,one_hot,pair_global_phase,isolated_family_with_dc,18,700018,full_grid,12769,0,0.0,0.0,0,0,-0.09159054857353248,-0.07254505588444381
0,one_hot,pair_global_phase,full_lookup_table,18,700018,training,3830,3830,1.0,1.0,3830,0,0.5575085745631543,0.6222620062198998
0,one_hot,pair_global_phase,full_lookup_table,18,700018,heldout,8939,0,0.0,0.0,0,0,-0.44249142543684566,-0.37024178346690667
0,one_hot,pair_global_phase,full_lookup_table,18,700018,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,0,-0.44249142543684566,-0.07254505588444377
0,one_hot,pair_global_phase,isolated_family_with_dc,19,700019,training,3830,0,0.0,0.0,0,0,-0.0766690039741658,-0.05912352370311546
0,one_hot,pair_global_phase,isolated_family_with_dc,19,700019,heldout,8939,0,0.0,0.0,0,0,-0.0766690039741658,-0.05927355374696673
0,one_hot,pair_global_phase,isolated_family_with_dc,19,700019,full_grid,12769,0,0.0,0.0,0,0,-0.0766690039741658,-0.059228552958498534
0,one_hot,pair_global_phase,full_lookup_table,19,700019,training,3830,3830,1.0,1.0,3830,0,0.5523292528029549,0.6358047324950407
0,one_hot,pair_global_phase,full_lookup_table,19,700019,heldout,8939,0,0.0,0.0,0,0,-0.44767074719704514,-0.35702220809744645
0,one_hot,pair_global_phase,full_lookup_table,19,700019,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,0,-0.44767074719704514,-0.05922855295849855
0,one_hot,channelwise_phase,isolated_family_with_dc,0,700100,training,3830,78,0.020365535248041775,0.020365535248041775,78,0,-0.1543973386175414,-0.07002457733223434
